,CH1,CH2,
Second,Volt,Volt,
-5.71069000E-01,-2.03E+00,-3.58E+00, 
-5.70996000E-01,-2.00E+00,-3.58E+00, 
-5.70923000E-01,-1.98E+00,-3.54E+00, 
-5.70850000E-01,-2.00E+00,-3.54E+00, 
-5.70776000E-01,-2.03E+00,-3.54E+00, 
-5.70703000E-01,-1.98E+00,-3.54E+00, 
-5.70630000E-01,-2.00E+00,-3.54E+00, 
-5.70557000E-01,-1.98E+00,-3.58E+00, 
-5.70483000E-01,-2.03E+00,-3.54E+00, 
-5.70410000E-01,-2.00E+00,-3.49E+00, 
-5.70337000E-01,-1.98E+00,-3.49E+00, 
-5.70264000E-01,-2.00E+00,-3.49E+00, 
-5.70190000E-01,-2.00E+00,-3.49E+00, 
-5.70117000E-01,-2.00E+00,-3.49E+00, 
-5.70044000E-01,-1.98E+00,-3.49E+00, 
-5.69971000E-01,-2.03E+00,-3.54E+00, 
-5.69897000E-01,-2.00E+00,-3.49E+00, 
-5.69824000E-01,-1.98E+00,-3.49E+00, 
-5.69751000E-01,-2.00E+00,-3.49E+00, 
-5.69678000E-01,-1.98E+00,-3.49E+00, 
-5.69605000E-01,-2.00E+00,-3.49E+00, 
-5.69531000E-01,-1.98E+00,-3.49E+00, 
-5.69458000E-01,-2.00E+00,-3.54E+00, 
-5.69385000E-01,-2.00E+00,-3.58E+00, 
-5.69312000E-01,-1.98E+00,-3.63E+00, 
-5.69238000E-01,-2.00E+00,-3.67E+00, 
-5.69165000E-01,-2.00E+00,-3.67E+00, 
-5.69092000E-01,-1.98E+00,-3.67E+00, 
-5.69019000E-01,-2.00E+00,-3.72E+00, 
-5.68945000E-01,-2.00E+00,-3.67E+00, 
-5.68872000E-01,-1.98E+00,-3.67E+00, 
-5.68799000E-01,-2.00E+00,-3.72E+00, 
-5.68726000E-01,-1.98E+00,-3.67E+00, 
-5.68652000E-01,-2.00E+00,-3.72E+00, 
-5.68579000E-01,-1.98E+00,-3.67E+00, 
-5.68506000E-01,-1.98E+00,-3.72E+00, 
-5.68433000E-01,-1.98E+00,-3.72E+00, 
-5.68359000E-01,-1.98E+00,-3.72E+00, 
-5.68286000E-01,-2.03E+00,-3.72E+00, 
-5.68213000E-01,-1.98E+00,-3.72E+00, 
-5.68140000E-01,-1.98E+00,-3.72E+00, 
-5.68066000E-01,-1.98E+00,-3.72E+00, 
-5.67993000E-01,-1.95E+00,-3.72E+00, 
-5.67920000E-01,-2.00E+00,-3.72E+00, 
-5.67847000E-01,-1.98E+00,-3.72E+00, 
-5.67773000E-01,-1.98E+00,-3.72E+00, 
-5.67700000E-01,-2.00E+00,-3.72E+00, 
-5.67627000E-01,-1.98E+00,-3.72E+00, 
-5.67554000E-01,-2.00E+00,-3.72E+00, 
-5.67481000E-01,-1.98E+00,-3.72E+00, 
-5.67407000E-01,-2.00E+00,-3.72E+00, 
-5.67334000E-01,-2.00E+00,-3.72E+00, 
-5.67261000E-01,-1.98E+00,-3.72E+00, 
-5.67188000E-01,-2.03E+00,-3.72E+00, 
-5.67114000E-01,-1.98E+00,-3.72E+00, 
-5.67041000E-01,-2.00E+00,-3.72E+00, 
-5.66968000E-01,-1.98E+00,-3.72E+00, 
-5.66895000E-01,-2.00E+00,-3.72E+00, 
-5.66821000E-01,-2.00E+00,-3.72E+00, 
-5.66748000E-01,-2.00E+00,-3.72E+00, 
-5.66675000E-01,-2.00E+00,-3.72E+00, 
-5.66602000E-01,-1.98E+00,-3.72E+00, 
-5.66528000E-01,-2.00E+00,-3.72E+00, 
-5.66455000E-01,-1.98E+00,-3.72E+00, 
-5.66382000E-01,-2.00E+00,-3.72E+00, 
-5.66309000E-01,-1.98E+00,-3.67E+00, 
-5.66235000E-01,-2.03E+00,-3.72E+00, 
-5.66162000E-01,-2.00E+00,-3.67E+00, 
-5.66089000E-01,-2.00E+00,-3.72E+00, 
-5.66016000E-01,-2.00E+00,-3.67E+00, 
-5.65942000E-01,-2.00E+00,-3.72E+00, 
-5.65869000E-01,-2.00E+00,-3.67E+00, 
-5.65796000E-01,-1.98E+00,-3.67E+00, 
-5.65723000E-01,-2.00E+00,-3.67E+00, 
-5.65649000E-01,-2.03E+00,-3.67E+00, 
-5.65576000E-01,-2.00E+00,-3.72E+00, 
-5.65503000E-01,-2.00E+00,-3.67E+00, 
-5.65430000E-01,-2.00E+00,-3.67E+00, 
-5.65356000E-01,-2.00E+00,-3.67E+00, 
-5.65283000E-01,-2.00E+00,-3.67E+00, 
-5.65210000E-01,-1.98E+00,-3.72E+00, 
-5.65137000E-01,-2.00E+00,-3.67E+00, 
-5.65063000E-01,-2.00E+00,-3.72E+00, 
-5.64990000E-01,-2.00E+00,-3.67E+00, 
-5.64917000E-01,-2.00E+00,-3.67E+00, 
-5.64844000E-01,-2.00E+00,-3.67E+00, 
-5.64771000E-01,-1.98E+00,-3.67E+00, 
-5.64697000E-01,-2.03E+00,-3.67E+00, 
-5.64624000E-01,-2.03E+00,-3.67E+00, 
-5.64551000E-01,-1.98E+00,-3.67E+00, 
-5.64478000E-01,-2.00E+00,-3.67E+00, 
-5.64404000E-01,-2.00E+00,-3.63E+00, 
-5.64331000E-01,-2.00E+00,-3.63E+00, 
-5.64258000E-01,-2.00E+00,-3.63E+00, 
-5.64185000E-01,-1.98E+00,-3.63E+00, 
-5.64111000E-01,-2.00E+00,-3.58E+00, 
-5.64038000E-01,-2.00E+00,-3.63E+00, 
-5.63965000E-01,-2.00E+00,-3.63E+00, 
-5.63892000E-01,-2.00E+00,-3.63E+00, 
-5.63818000E-01,-1.98E+00,-3.58E+00, 
-5.63745000E-01,-2.00E+00,-3.58E+00, 
